FIPS State-County Code,Share Latino in majority-nonwhite schools,County share white,County share black,County share Latino
1001,0,71,24,2
1003,0,79,14,5
1005,100,31,62,5
1007,0,75,22,1
1009,0,84,2,13
1011,100,1,92,8
1013,89,38,60,1
1015,6,68,26,3
1017,27,42,55,1
1019,0,83,5,1
1021,0,76,12,9
1023,76,33,65,1
1025,96,40,58,1
1027,0,75,20,4
1029,0,92,5,2
1031,12,68,21,7
1033,2,75,20,2
1035,100,16,84,0
1037,0,53,43,1
1039,0,79,18,1
1041,0,62,34,2
1043,0,92,1,5
1045,41,63,30,4
1047,87,12,87,0
1049,47,63,2,25
1051,0,69,26,2
1053,24,53,41,1
1055,51,74,20,5
1057,0,84,15,0
1059,0,75,4,20
1061,0,80,14,5
1063,100,0,99,0
1065,31,29,70,1
1067,49,59,37,3
1069,30,56,39,3
1071,0,86,5,4
1073,66,42,51,4
1075,0,82,16,2
1077,28,82,14,3
1079,28,72,13,2
1081,38,60,32,3
1083,19,76,13,8
1085,100,1,99,0
1087,100,1,98,0
1089,49,59,29,4
1091,76,37,60,2
1093,0,93,4,2
1095,8,79,2,17
1097,43,45,49,2
1099,39,45,52,0
1101,92,14,78,4
1103,56,70,17,11
1105,.,1,99,0
1107,0,39,59,1
1109,89,41,54,2
1111,0,71,26,3
1113,63,38,55,4
1115,0,86,10,2
1117,0,73,15,8
1119,100,1,99,0
1121,35,57,40,2
1123,5,61,35,2
1125,62,51,44,3
1127,5,88,9,2
1129,58,60,29,1
1131,.,0,100,0
1133,0,95,1,2
2013,75,12,0,3
2016,100,24,1,12
2020,65,46,6,11
2050,100,4,0,0
2060,100,31,0,3
2068,0,90,0,2
2070,100,6,0,0
2090,17,62,6,8
2100,0,78,0,2
2105,67,29,1,1
2110,26,54,1,5
2122,1,76,1,4
2130,48,51,1,3
2150,91,39,0,9
2164,.,10,2,0
2170,0,74,2,3
2180,100,5,0,0
2185,100,4,0,1
2188,.,3,0,0
2195,12,51,1,4
2198,19,35,0,2
2220,40,42,1,3
2230,0,85,0,1
2240,2,73,2,4
2261,6,60,0,3
2270,.,1,0,0
2275,0,57,1,3
2282,100,17,0,4
2290,100,12,0,1
4001,10,15,0,5
4003,78,39,5,51
4005,64,42,1,18
4007,63,47,0,24
4009,65,54,1,36
4011,90,37,1,59
4012,92,24,1,48
4013,79,44,7,42
4015,24,69,1,24
4017,40,39,1,12
4019,82,36,4,52
4021,70,45,6,40
4023,100,4,0,95
4025,7,69,1,24
4027,99,16,2,80
5001,42,62,32,3
5003,3,61,30,8
5005,0,93,0,3
5007,24,66,2,24
5009,0,95,0,2
5011,69,49,29,22
5013,0,68,28,4
5015,0,71,0,27
5017,100,11,79,9
5019,0,57,31,9
5021,0,97,0,2
5023,0,95,0,3
5025,0,80,16,2
5027,93,49,47,3
5029,0,76,14,5
5031,35,70,21,6
