FIPS State-County Code,Period,Year,Beneficiaries (percent of adult population)
1001,1,2005,5.423060667
1003,1,2005,4.196790871
1005,1,2005,8.658430193
1007,1,2005,9.816989158
1009,1,2005,4.324009582
1011,1,2005,6.121271311
1013,1,2005,8.482850717
1015,1,2005,7.748494719
1017,1,2005,7.758343559
1019,1,2005,8.129247347
1021,1,2005,6.18260501
1023,1,2005,10.47568532
1025,1,2005,7.990929857
1027,1,2005,8.528666851
1029,1,2005,8.188912203
1031,1,2005,5.560425506
1035,1,2005,10.00870525
1037,1,2005,10.06385563
1039,1,2005,7.683173307
1041,1,2005,7.771880714
1043,1,2005,5.866284173
1045,1,2005,5.588769689
1047,1,2005,9.093638144
1049,1,2005,6.283031304
1051,1,2005,5.829116795
1053,1,2005,7.291795419
1055,1,2005,8.17246724
1057,1,2005,10.80841352
1059,1,2005,7.950566057
1061,1,2005,7.818768621
1063,1,2005,8.928108267
1065,1,2005,9.623257811
1067,1,2005,9.794167882
1069,1,2005,6.505989632
1071,1,2005,6.512109492
1073,1,2005,5.47070293
1075,1,2005,8.499508687
1079,1,2005,8.204362727
1081,1,2005,4.017928019
1083,1,2005,4.829286075
1085,1,2005,7.913142085
1087,1,2005,5.911760238
1089,1,2005,3.398526909
1091,1,2005,9.232418649
1093,1,2005,7.9266827
1095,1,2005,7.237959681
1097,1,2005,5.169885315
1099,1,2005,6.821892986
1101,1,2005,4.953013006
1103,1,2005,5.01791187
1105,1,2005,8.197789775
1107,1,2005,8.642791481
1109,1,2005,7.787381384
1111,1,2005,7.279966282
1113,1,2005,6.329920976
1117,1,2005,3.267654224
1115,1,2005,5.727843107
1119,1,2005,8.526365543
1121,1,2005,10.44725185
1123,1,2005,8.235520514
1125,1,2005,6.3415147
1127,1,2005,8.293119833
1129,1,2005,7.601423971
1131,1,2005,9.260772649
1133,1,2005,8.668271451
4001,1,2005,3.440737259
4003,1,2005,4.689564915
4005,1,2005,2.786492208
4007,1,2005,5.781797899
4009,1,2005,4.397240646
4011,1,2005,4.207097963
4012,1,2005,4.908211963
4013,1,2005,2.840431923
4015,1,2005,7.102365055
4017,1,2005,4.326208576
4019,1,2005,3.909788689
4021,1,2005,6.556475855
4023,1,2005,2.632146303
4025,1,2005,6.143065162
4027,1,2005,2.758865477
5001,1,2005,6.307373827
5003,1,2005,8.041110699
5005,1,2005,8.232667131
5007,1,2005,3.793961425
5009,1,2005,8.148343529
5011,1,2005,7.346267834
5013,1,2005,7.090552428
5015,1,2005,6.83056673
5017,1,2005,5.340089046
5019,1,2005,5.111873817
5021,1,2005,7.424068968
5023,1,2005,8.565184735
5025,1,2005,7.348387567
5027,1,2005,7.50452464
5029,1,2005,7.491581261
5031,1,2005,5.769872406
5033,1,2005,8.270858688
5035,1,2005,6.152569385
5037,1,2005,6.970468662
5039,1,2005,6.922208053
5041,1,2005,7.028814669
