FIPS State-County Code,Share of black students in majority-nonwhite schools,County share white,County share black,County share Latino
18023,0,76,1,21
18025,0,96,0,2
18027,0,88,1,8
18029,0,96,0,1
18031,0,96,0,2
18033,0,93,1,3
18035,11,82,9,2
18037,0,89,0,9
18039,43,63,7,23
18041,0,95,1,1
18043,0,82,7,3
18045,0,93,0,3
18047,.,97,0,1
18049,0,89,0,6
18051,0,93,2,1
18053,18,78,9,4
18055,0,96,0,2
18057,0,82,4,4
18059,0,93,2,2
18061,0,95,1,2
18063,0,83,6,4
18065,0,94,1,2
18067,0,79,9,3
18069,0,94,0,2
18071,0,87,1,7
18073,0,89,1,7
18075,0,94,0,3
18077,0,92,2,3
18079,0,94,0,3
18081,0,89,1,4
18083,0,94,1,2
18085,0,82,1,14
18087,0,89,1,7
18089,94,41,32,22
18091,50,72,13,9
18093,0,95,0,2
18095,5,79,10,5
18097,91,41,37,14
18099,0,81,1,15
18101,0,97,0,1
18103,0,91,1,2
18105,0,81,4,4
18107,0,90,1,6
18109,0,95,1,2
18111,0,89,1,7
18113,6,79,0,18
18115,0,96,0,1
18117,0,95,1,1
18119,0,96,0,1
18121,.,95,0,2
18123,0,96,1,2
18125,0,97,0,1
18127,0,79,5,10
18129,0,92,2,2
18131,0,92,0,4
18133,0,94,1,2
18135,0,92,0,4
18137,0,97,0,1
18139,0,93,1,1
18141,75,59,20,11
18143,0,95,1,2
18145,0,90,1,5
18147,0,92,0,5
18149,0,93,0,5
18151,0,89,0,6
18153,0,96,0,2
18155,0,97,0,1
18157,11,71,7,14
18159,0,94,0,4
18161,0,97,0,0
18163,44,72,14,3
18165,0,95,0,2
18167,0,83,6,3
18169,0,94,0,2
18171,0,97,0,1
18173,0,91,1,2
18175,0,97,0,1
18177,8,83,5,3
18179,0,94,1,3
18181,0,85,0,10
18183,0,93,1,3
19001,0,96,0,1
19003,.,95,0,2
19005,43,85,1,13
19007,0,95,1,2
19009,0,96,0,1
19011,0,95,1,2
19013,48,69,17,7
19015,61,90,3,4
19017,0,96,1,1
19019,0,95,0,2
19021,92,50,3,36
19023,0,96,1,1
19025,0,94,1,3
19027,0,94,1,4
19029,0,94,1,3
19031,0,94,1,2
19033,0,87,3,6
19035,0,90,1,6
19037,0,96,0,3
19039,0,80,0,17
19041,0,90,1,7
19043,0,97,0,1
19045,0,86,4,5
19047,67,55,2,42
19049,9,85,2,8
19051,0,95,0,2
19053,0,93,1,3
19055,0,97,1,1
19057,0,79,10,5
19059,0,93,1,3
19061,12,87,5,3
19063,0,81,1,15
19065,0,93,0,2
19067,0,89,5,4
19069,8,75,1,23
19071,0,94,1,3
19073,0,91,0,5
19075,0,94,1,3
19077,0,94,1,4
19079,0,86,0,8
19081,0,88,1,8
19083,0,90,1,6
19085,0,95,0,3
19087,0,85,3,6
19089,0,94,0,2
19091,0,89,1,8
19093,0,93,1,5
19095,0,93,1,5
19097,0,93,1,2
19099,0,94,1,3
19101,0,91,1,4
19103,29,72,12,8
19105,0,95,1,2
19107,0,97,1,1
19109,0,94,0,3
19111,0,87,3,5
19113,7,82,8,4
19115,18,68,1,29
19117,0,98,0,1
19119,0,95,0,3
19121,0,95,1,2
19123,0,92,1,2
19125,0,94,1,2
19127,51,59,2,32
19129,0,94,1,3
19131,0,97,0,1
19133,0,93,2,3
19135,0,93,1,4
19137,0,92,0,6
19139,11,67,3,27
19141,0,89,1,8
19143,0,87,1,10
19145,82,87,5,4
19147,0,95,0,3
19149,0,90,1,6
19151,0,92,2,4
19153,59,68,9,13
19155,0,85,2,10
19157,0,91,1,4
19159,0,97,1,1
19161,0,93,1,4
19163,29,70,12,10
19165,0,95,1,2
19167,0,77,1,20
19169,0,84,4,5
19171,0,76,1,16
19173,0,85,0,14
19175,0,92,1,4
19177,0,96,1,2
19179,19,77,2,17
19181,0,92,1,3
19183,0,86,2,10
19185,0,96,1,2
19187,0,83,6,6
19189,0,91,1,5
19191,0,95,0,3
19193,42,65,4,23
19195,0,94,2,2
19197,0,80,1,17
20001,0,90,2,4
20003,0,94,1,3
20005,0,81,9,4
20007,0,93,1,4
20009,11,71,1,24
20011,0,89,4,3
20013,0,76,2,5
20015,0,87,1,6
20017,.,93,0,3
20019,0,82,3,6
20021,0,83,1,3
20023,.,86,0,12
20025,0,79,1,15
20027,0,92,1,3
20029,0,92,1,5
20031,0,93,0,3
20033,0,92,1,6
20035,1,70,3,16
20037,0,83,2,8
20039,0,90,1,5
20041,0,92,1,3
20043,0,91,3,3
20045,2,75,6,7
20047,0,63,1,32
20049,0,89,1,5
20051,5,86,1,8
20053,0,89,1,6
20055,89,28,1,65
20057,95,24,2,71
20059,0,90,2,5
20061,62,49,19,18
20063,0,92,2,4
20065,0,89,4,3
20067,100,32,0,65
20069,0,73,1,25
20071,0,71,0,24
20073,0,89,1,5
20075,50,51,0,47
20077,0,84,0,11
20079,9,74,2,20
20081,0,57,0,42
20083,0,85,2,9
20085,0,79,2,4
20087,0,93,1,3
20089,0,94,1,5
20091,9,74,6,11
20093,0,56,1,40
20095,0,94,0,3
20097,0,82,1,12
20099,0,75,6,6
20101,.,83,0,13
20103,11,76,8,8
20105,0,90,1,5
20107,0,94,1,2
20109,0,93,1,4
20111,82,53,2,39
20113,0,89,1,6
20115,0,91,1,5
20117,0,94,1,3
20119,11,71,1,26
20121,0,91,1,4
20123,0,95,0,2
20125,32,69,7,8
20127,0,91,1,6
20129,0,75,3,17
20131,0,94,1,2
20133,0,88,1,6
20135,0,78,0,20
20137,0,95,1,2
20139,0,92,1,4
20141,0,94,1,3
20143,0,94,2,3
20145,39,76,3,15
20147,0,89,2,4
20149,0,90,1,6
20151,0,83,0,13
20153,0,92,2,5
20155,3,79,3,13
20157,0,95,1,2
20159,0,77,2,18
20161,0,69,8,12
20163,0,96,1,2
20165,0,94,1,4
20167,0,91,2,4
20169,0,74,6,12
20171,0,69,1,26
20173,82,54,12,22
20175,100,21,2,72
20177,70,61,12,17
20179,0,90,0,7
20181,0,77,2,20
20183,0,94,0,2
20185,0,72,1,26
20187,0,49,0,44
20189,0,52,1,46
20191,0,87,1,7
20193,0,90,1,6
20195,0,94,2,2
20197,0,90,0,5
20199,0,92,0,7
20201,0,93,1,5
20203,0,60,0,39
20205,0,91,0,4
20207,0,90,0,2
20209,91,27,29,37
21001,0,92,2,4
21003,0,95,1,2
21005,0,92,2,2
21007,0,92,3,1
21009,0,88,5,4
21011,0,96,1,2
21013,0,96,2,0
21015,0,87,3,5
21017,0,78,8,11
21019,0,94,2,1
21021,0,82,8,4
21023,0,97,1,2
21025,0,98,1,0
21027,0,94,2,2
21029,0,95,1,2
21031,0,95,0,3
21033,0,90,6,1
21035,0,88,4,3
21037,0,90,4,2
21039,0,95,1,3
21041,0,85,2,9
21043,0,98,1,1
21045,0,94,0,4
21047,24,58,33,5
21049,0,87,6,4
21051,0,98,1,1
21053,0,95,0,4
21055,0,97,1,1
21057,0,93,2,1
21059,6,83,7,4
21061,0,96,0,1
21063,0,99,0,0
21065,0,99,1,0
21067,51,57,23,12
21069,0,95,2,2
21071,0,99,0,0
21073,0,78,10,5
21075,52,57,34,3
21077,0,88,1,8
21079,0,90,3,5
21081,0,94,1,3
21083,41,80,5,10
21085,0,97,1,1
21087,0,93,2,2
21089,0,96,1,1
21091,0,95,1,2
21093,20,72,16,5
21095,0,96,3,1
21097,0,93,2,3
21099,0,92,4,2
21101,0,83,9,3
21103,47,88,5,5
21105,0,85,10,1
21107,0,83,10,3
21109,0,99,0,0
21111,55,51,37,7
21113,0,89,5,3
21115,0,97,1,1
21117,25,83,8,4
21119,0,98,1,1
21121,0,97,1,1
21123,0,89,3,5
21125,0,96,1,1
21127,0,99,1,0
21129,0,98,1,0
21131,0,99,1,0
21133,0,99,1,1
21135,0,98,0,0
21137,0,92,2,3
21139,0,94,0,3
21141,0,86,8,3
21143,0,91,4,1
21145,80,74,18,3
21147,0,99,0,1
21149,0,96,1,3
21151,0,88,5,3
21153,.,98,0,1
21155,0,89,7,3
21157,0,98,0,1
21159,0,99,0,0
21161,0,85,8,2
21163,0,93,2,2
21165,0,97,0,1
21167,0,87,3,4
21169,0,97,1,2
21171,0,92,3,4
21173,0,92,2,4
21175,0,99,0,0
21177,0,93,4,1
21179,0,86,7,3
21181,0,95,0,3
21183,0,93,1,5
21185,0,89,3,5
21187,0,95,1,4
21189,0,99,1,0
21191,0,97,1,1
21193,0,95,3,1
21195,0,98,1,0
21197,0,98,1,1
21199,0,93,2,3
21201,.,97,0,2
21203,0,98,0,1
21205,0,94,1,2
21207,0,93,1,4
21209,0,84,7,6
21211,4,72,9,15
21213,0,82,11,3
21215,0,92,2,3
21217,0,89,4,3
21219,0,82,9,6
21221,0,83,10,2
21223,0,96,0,2
21225,0,85,11,1
21227,13,74,11,8
21229,0,83,11,6
21231,0,93,2,4
21233,0,85,3,9
21235,0,98,1,1
21237,0,99,0,1
21239,0,79,5,12
22001,48,68,27,2
22003,0,73,22,1
22005,51,62,30,5
22007,64,54,43,2
22009,61,50,46,1
22011,0,77,15,3
22013,91,45,53,1
22015,51,61,27,7
22017,82,29,67,3
22019,61,61,34,2
22021,0,78,19,2
22023,0,90,2,5
22025,75,57,41,1
22027,90,29,69,2
22029,73,49,49,1
22031,67,51,45,2
22033,90,21,71,4
22035,100,0,99,0
22037,92,26,73,0
22039,55,59,38,1
22041,55,48,51,1
22043,42,85,12,1
22045,69,46,47,3
22047,95,30,68,1
22049,87,62,36,1
22051,98,29,46,18
22053,6,72,22,1
22055,61,50,43,4
22057,58,66,21,5
22059,0,88,10,1
22061,74,48,47,3
22063,0,89,7,3
22065,100,5,93,1
22067,91,31,67,1
22069,93,39,57,1
22071,100,1,93,2
22073,85,51,47,1
22075,55,59,30,4
22077,83,37,59,2
22079,58,57,37,3
22081,100,30,66,1
22083,82,47,51,1
22085,63,50,22,3
22087,35,58,26,10
22089,37,56,34,6
22091,100,5,95,0
22093,93,33,65,1
22095,100,13,81,4
22097,67,40,58,1
22099,61,50,45,2
22101,66,46,43,6
22103,32,75,19,4
22105,62,55,39,3
22107,100,7,91,1
22109,55,56,28,4
22111,99,47,44,9
22113,63,72,20,3
22115,53,70,18,7
22117,55,56,41,2
22119,60,57,40,2
22121,51,45,52,2
22123,0,78,18,2
22125,0,58,40,1
22127,0,62,36,2
23001,14,85,11,2
23003,0,93,1,1
23005,27,87,6,2
23007,0,96,1,1
23009,0,94,1,2
23011,0,95,1,2
23013,0,96,1,1
23015,0,96,1,1
23017,0,96,1,1
23019,0,94,1,1
23021,0,95,1,2
23023,0,94,1,2
23025,0,96,1,1
23027,0,95,1,1
23029,0,92,1,2
23031,0,94,1,1
24001,0,90,4,1
24003,60,61,20,9
24005,77,45,38,6
24009,0,75,14,4
24011,0,69,16,9
24013,0,88,4,4
24015,0,81,8,5
24017,90,34,52,5
24019,84,53,37,4
24021,48,67,11,11
24023,0,97,0,1
24025,73,68,18,5
24027,74,47,21,8
24029,17,65,22,8
24031,90,34,21,26
24033,100,5,67,23
24035,0,85,7,3
24037,49,71,18,5
24039,75,45,42,6
24041,0,67,17,10
24043,12,74,12,6
24045,82,49,35,7
24047,50,68,20,6
24510,99,8,85,5
25001,6,85,4,4
25003,11,84,5,5
25005,32,77,5,11
25007,0,79,3,9
25009,53,66,3,25
25011,0,88,2,6
25013,88,52,10,33
25015,7,82,3,8
25017,52,69,7,11
25019,0,67,14,15
25021,29,76,7,5
25023,85,80,12,4
25025,99,17,30,44
25027,66,73,5,15
26001,0,97,0,1
26003,0,80,1,2
26005,5,87,2,8
26007,0,96,0,0
26009,0,91,1,3
26011,0,96,1,1
26013,0,68,0,0
26015,0,93,1,4
26017,0,88,3,6
26019,0,90,1,3
26021,77,66,22,7
26023,0,90,1,7
26025,72,70,15,7
26027,0,80,9,5
26029,0,90,1,2
26031,0,88,0,1
26033,24,59,1,1
26035,0,94,1,2
26037,0,89,1,6
26039,0,93,1,3
26041,0,91,0,1
26043,0,94,0,1
26045,55,82,6,6
26047,0,87,1,2
26049,82,67,25,3
26051,0,95,1,2
26053,5,91,1,1
26055,0,91,1,3
26057,0,90,1,7
26059,0,95,1,2
26061,0,96,1,0
26063,0,95,1,3
26065,76,60,20,10
26067,0,92,1,6
26069,0,94,1,2
