FIPS State-County Code,Share of black students in majority-nonwhite schools,County share white,County share black,County share Latino
1001,14,71,24,2
1003,6,79,14,5
1005,100,31,62,5
1007,0,75,22,1
1009,0,84,2,13
1011,100,1,92,8
1013,96,38,60,1
1015,41,68,26,3
1017,60,42,55,1
1019,0,83,5,1
1021,0,76,12,9
1023,82,33,65,1
1025,85,40,58,1
1027,0,75,20,4
1029,0,92,5,2
1031,24,68,21,7
1033,5,75,20,2
1035,100,16,84,0
1037,0,53,43,1
1039,0,79,18,1
1041,0,62,34,2
1043,0,92,1,5
1045,52,63,30,4
1047,97,12,87,0
1049,31,63,2,25
1051,0,69,26,2
1053,58,53,41,1
1055,72,74,20,5
1057,0,84,15,0
1059,0,75,4,20
1061,0,80,14,5
1063,100,0,99,0
1065,80,29,70,1
1067,59,59,37,3
1069,66,56,39,3
1071,0,86,5,4
1073,85,42,51,4
1075,0,82,16,2
1077,26,82,14,3
1079,52,72,13,2
1081,46,60,32,3
1083,17,76,13,8
1085,100,1,99,0
1087,100,1,98,0
1089,54,59,29,4
1091,77,37,60,2
1093,0,93,4,2
1095,1,79,2,17
1097,82,45,49,2
1099,84,45,52,0
1101,97,14,78,4
1103,49,70,17,11
1105,100,1,99,0
1107,79,39,59,1
1109,82,41,54,2
1111,0,71,26,3
1113,77,38,55,4
1115,0,86,10,2
1117,0,73,15,8
1119,100,1,99,0
1121,53,57,40,2
1123,11,61,35,2
1125,70,51,44,3
1127,14,88,9,2
1129,37,60,29,1
1131,100,0,100,0
1133,0,95,1,2
2013,.,12,0,3
2016,100,24,1,12
2020,73,46,6,11
2050,100,4,0,0
2060,.,31,0,3
2068,.,90,0,2
2070,.,6,0,0
2090,25,62,6,8
2100,.,78,0,2
2105,100,29,1,1
2110,29,54,1,5
2122,0,76,1,4
2130,79,51,1,3
2150,100,39,0,9
2164,100,10,2,0
2170,0,74,2,3
2180,100,5,0,0
2185,100,4,0,1
2188,100,3,0,0
2195,0,51,1,4
2198,0,35,0,2
2220,40,42,1,3
2230,.,85,0,1
2240,13,73,2,4
2261,0,60,0,3
2270,100,1,0,0
2275,0,57,1,3
2282,.,17,0,4
2290,100,12,0,1
4001,52,15,0,5
4003,42,39,5,51
4005,57,42,1,18
4007,33,47,0,24
4009,71,54,1,36
4011,73,37,1,59
4012,56,24,1,48
4013,69,44,7,42
4015,17,69,1,24
4017,70,39,1,12
4019,68,36,4,52
4021,57,45,6,40
4023,90,4,0,95
4025,2,69,1,24
4027,97,16,2,80
5001,43,62,32,3
5003,6,61,30,8
5005,0,93,0,3
5007,8,66,2,24
5009,0,95,0,2
5011,87,49,29,22
5013,0,68,28,4
5015,0,71,0,27
5017,100,11,79,9
5019,0,57,31,9
5021,0,97,0,2
5023,0,95,0,3
5025,0,80,16,2
5027,95,49,47,3
5029,0,76,14,5
5031,49,70,21,6
5033,5,81,2,10
5035,80,31,66,2
5037,0,70,27,1
5039,89,47,49,4
5041,64,37,56,5
5043,0,65,30,4
5045,14,78,15,5
5047,0,93,1,3
5049,0,94,1,2
5051,74,73,13,9
5053,0,94,2,3
5055,0,94,1,4
5057,90,41,36,21
5059,0,80,13,4
5061,63,57,23,17
5063,0,85,3,9
5065,0,96,1,2
5067,0,69,26,4
5069,95,27,70,1
5071,0,76,2,19
5073,73,44,53,2
5075,0,97,0,1
5077,100,6,91,2
5079,0,69,22,7
5081,0,66,27,3
5083,0,91,1,3
5085,0,86,7,4
5087,0,90,0,7
5089,0,96,0,2
5091,83,61,33,3
5093,83,49,45,5
5095,100,38,55,3
5097,0,88,1,8
5099,0,57,37,5
5101,0,96,0,0
5103,82,43,52,2
5105,0,93,3,2
5107,91,18,80,1
5109,0,84,2,10
5111,0,84,11,4
5113,0,86,1,9
5115,14,81,4,11
5117,0,79,20,1
5119,87,33,56,8
5121,0,94,1,2
5123,96,25,73,1
5125,0,84,7,6
5127,0,82,1,10
5129,0,96,0,2
5131,63,58,8,21
5133,89,44,4,50
5135,0,96,1,2
5137,0,96,1,2
5139,78,53,41,4
5141,0,94,1,3
5143,31,59,4,27
5145,0,86,5,6
5147,82,61,34,1
5149,25,65,1,29
6001,96,22,13,32
6003,.,52,0,11
6005,0,72,0,17
6007,31,60,3,22
6009,0,78,1,14
6011,100,23,1,72
6013,90,37,10,32
6015,4,58,1,18
6017,7,71,1,18
6019,94,20,6,61
6021,100,39,1,54
6023,10,63,1,14
6025,100,7,1,90
6027,64,43,0,34
6029,88,26,6,62
6031,88,25,5,64
6033,28,58,2,29
6035,0,75,1,13
6037,96,14,8,65
6039,90,24,2,70
6041,47,60,3,25
6043,0,72,1,13
6045,40,49,1,38
6047,99,19,3,68
6049,0,70,1,19
6051,57,15,0,49
6053,92,16,2,75
6055,95,32,2,53
6057,5,80,1,13
6059,73,30,2,48
6061,3,68,2,17
6063,0,77,2,15
6065,95,25,7,60
6067,89,35,13,28
6069,100,21,1,67
6071,97,21,9,62
6073,88,32,6,46
6075,99,12,10,24
6077,99,23,9,48
6079,31,57,1,35
6081,89,30,3,38
6083,85,26,1,65
6085,92,23,2,38
6087,46,40,1,52
6089,3,73,2,13
6091,0,79,1,14
6093,5,65,1,19
6095,92,29,16,33
6097,39,48,2,41
6099,92,32,3,55
6101,72,41,2,36
6103,21,58,1,36
6105,0,73,1,9
6107,99,20,2,72
6109,13,64,1,13
6111,63,37,3,50
6113,76,38,3,45
6115,50,46,4,33
8001,72,42,3,49
8003,80,37,0,59
8005,69,48,12,29
8007,0,71,1,25
8009,0,77,1,18
8011,36,59,1,39
8013,16,66,1,24
8014,1,73,1,17
8015,0,83,0,13
8017,.,81,0,19
8019,0,82,1,11
8021,100,43,0,55
8023,100,14,0,83
8025,0,66,0,24
8027,0,90,1,4
8029,0,73,0,24
8031,92,21,14,58
8033,0,85,0,6
8035,47,77,2,13
8037,86,47,0,50
8039,0,86,1,10
8041,43,61,7,22
8043,0,83,1,12
8045,15,52,0,44
8047,0,82,1,11
8049,0,84,1,13
8051,0,81,0,16
8053,.,89,0,8
8055,100,39,1,56
8057,.,74,0,23
8059,25,68,1,23
8061,0,84,2,12
8063,38,66,1,31
8065,100,30,0,66
8067,14,72,1,17
8069,3,75,1,18
8071,44,43,1,52
8073,0,85,3,9
8075,0,74,1,21
8077,0,73,1,21
8079,.,80,0,17
8081,0,75,0,21
8083,5,62,1,16
8085,13,60,0,36
8087,95,43,2,52
8089,68,44,1,53
8091,0,86,0,9
8093,0,85,1,10
8095,0,69,0,29
8097,13,71,1,25
8099,77,45,1,52
8101,82,40,2,55
8103,0,84,0,14
8105,67,40,0,57
8107,0,87,0,9
8109,25,33,0,64
8111,.,75,0,25
8113,0,82,0,15
8115,0,75,1,22
8117,38,65,1,30
8119,0,87,1,8
8121,0,87,0,11
8123,65,55,1,41
8125,0,62,0,36
9001,88,59,13,21
9003,82,54,16,22
9005,0,87,2,7
9007,18,81,7,7
9009,89,54,17,23
9011,58,69,8,13
9013,9,86,4,5
9015,38,77,3,16
10001,45,55,33,7
10003,78,44,35,15
10005,34,57,21,16
11001,99,8,76,14
12001,73,48,34,8
12003,0,83,12,2
12005,26,74,14,5
12007,0,70,24,3
12009,45,64,14,13
12011,97,26,38,29
12013,0,76,12,6
12015,0,74,9,12
12017,0,83,4,7
12019,36,70,13,10
12021,81,40,12,44
12023,14,68,22,5
12027,70,45,12,40
12029,0,85,7,4
12031,88,39,44,8
12033,70,50,34,5
12035,3,64,16,12
12037,0,81,11,4
12039,100,4,76,19
12041,0,89,4,4
12043,100,39,10,33
12045,0,80,14,3
12047,100,44,37,15
12049,100,33,6,58
12051,100,25,15,59
12053,0,72,7,15
12055,70,48,17,30
12057,89,39,21,33
12059,0,91,3,3
12061,22,60,16,20
12063,13,62,30,3
12065,100,24,67,7
12067,0,71,8,18
12069,41,58,15,20
12071,71,48,15,33
12073,73,46,42,5
12075,0,73,14,9
12077,0,81,9,7
12079,97,38,55,4
12081,61,53,14,29
12083,49,56,19,18
12085,30,64,7,24
12086,100,8,24,66
12087,63,53,10,33
12089,0,83,7,5
12091,8,71,12,8
12093,25,53,7,36
12095,92,32,27,34
12097,93,28,12,55
12099,86,36,28,29
12101,11,68,6,20
12103,59,60,18,13
12105,63,47,21,27
12107,38,56,25,15
12109,0,81,7,6
12111,87,40,29,26
12113,0,80,5,5
12115,43,66,9,18
12117,45,56,14,22
12119,33,69,13,13
12121,0,67,14,15
12123,0,70,24,2
12125,0,78,14,4
12127,38,62,15,18
12129,0,82,10,2
12131,0,79,7,8
12133,0,76,16,3
13001,29,63,22,12
13003,100,46,17,35
13005,0,68,19,9
13007,100,17,74,6
13009,100,28,65,2
13011,11,80,2,14
13013,0,64,13,13
13015,11,74,12,11
13017,100,45,42,10
13019,0,76,12,9
13021,97,21,73,3
13023,3,69,26,2
13025,0,94,3,2
13027,92,38,49,9
13029,0,72,17,6
13031,59,55,35,5
13033,100,30,67,1
13035,0,63,31,3
13037,100,1,96,3
13039,0,63,24,6
13043,40,50,29,17
13045,29,64,21,9
13047,0,90,3,3
13049,0,64,30,1
13051,94,28,58,6
13053,50,53,35,6
13055,0,82,6,7
13057,6,75,7,14
13059,100,19,53,22
13061,100,1,98,0
13063,100,3,71,18
13065,0,58,35,2
13067,81,42,32,18
13069,36,50,30,16
13071,62,47,27,23
13073,27,66,18,7
13075,0,54,34,8
13077,20,66,21,7
13079,0,71,23,1
13081,100,36,57,3
13083,0,96,1,1
13085,0,92,0,5
13087,100,39,51,8
13089,97,13,68,12
13091,0,58,35,4
13093,100,11,72,14
13095,99,9,88,2
13097,89,34,48,12
13099,100,31,65,2
13101,0,57,2,38
13103,0,75,15,4
13105,17,53,35,8
13107,78,49,43,6
13109,100,42,37,19
13111,0,94,0,3
13113,70,56,24,9
13115,68,63,16,15
13117,6,75,3,12
13119,0,80,11,6
13121,94,26,54,11
13123,0,81,0,17
13125,0,91,7,0
13127,54,50,35,9
13129,0,72,3,20
13131,93,43,41,13
13133,98,26,62,9
13135,89,31,29,25
13137,21,71,2,22
13139,78,48,8,41
13141,100,1,98,0
13143,0,91,4,1
13145,0,75,17,4
13147,0,67,24,6
13149,0,84,9,2
13151,85,39,46,8
13153,62,50,36,7
13155,0,63,32,3
13157,0,78,6,10
13159,0,66,25,5
13161,0,65,16,17
13163,100,26,68,3
13165,100,38,56,4
13167,0,52,44,3
13169,0,69,27,1
13171,0,61,34,2
13173,0,66,26,4
13175,47,54,41,2
13177,0,73,19,2
13179,100,30,51,10
13181,0,60,37,0
13183,0,53,26,10
13185,71,46,44,6
13187,0,90,1,6
13189,96,44,50,3
13191,24,53,42,2
13193,100,10,81,6
13195,0,80,9,7
13197,46,50,37,8
13199,100,38,58,1
13201,0,61,35,2
13205,94,40,51,7
13207,3,67,28,3
13209,0,54,32,11
13211,0,64,28,4
13213,0,77,0,20
13215,89,29,58,6
13217,81,38,52,6
13219,0,83,4,6
13221,0,71,18,6
13223,12,67,20,7
13225,88,34,49,13
13227,0,92,1,4
13229,0,83,9,6
13231,0,88,9,1
13233,24,64,14,17
13235,0,51,39,6
13237,100,46,42,9
13239,100,23,75,0
13241,0,83,0,15
13243,100,6,91,1
13245,97,20,73,3
13247,100,22,60,12
13249,0,77,17,3
13251,100,45,52,1
13253,56,51,44,3
13255,70,47,44,5
13257,0,78,12,3
13259,100,7,92,1
13261,100,16,75,7
13263,100,9,91,0
13265,100,10,84,2
13267,32,54,25,19
13269,0,55,42,1
13271,0,54,43,1
13273,100,5,92,1
13275,50,50,44,3
13277,100,45,34,18
13279,85,52,32,13
13281,.,98,0,0
13283,0,56,40,1
13285,60,51,40,4
13287,100,38,55,6
13289,100,31,66,0
13291,0,94,0,3
13293,0,59,34,3
13295,0,89,5,2
13297,21,69,22,5
13299,39,54,36,5
13301,100,6,92,1
13303,100,31,64,1
13305,0,68,22,6
13307,100,44,48,5
13309,0,59,34,6
13311,0,91,1,3
13313,73,44,3,49
13315,0,54,41,3
13317,100,38,51,5
13319,100,37,57,3
13321,0,58,36,2
15001,92,17,1,7
15003,96,13,3,6
15007,96,18,1,5
15009,89,17,1,7
16001,0,83,2,9
16003,.,93,0,5
16005,0,83,1,8
16007,0,95,0,3
16009,67,75,0,5
16011,2,71,0,22
16013,0,62,0,35
16015,0,92,0,5
16017,0,90,0,4
16019,0,80,1,16
16021,0,88,1,6
16023,0,93,0,5
16025,.,89,0,9
16027,12,63,1,33
16029,0,91,0,7
16031,0,66,0,32
16033,.,48,0,51
16035,0,86,2,6
16037,0,91,0,7
16039,0,69,2,23
16041,0,90,0,7
16043,0,79,0,19
16045,0,84,0,12
16047,0,65,0,33
16049,0,91,1,5
16051,0,84,0,13
16053,31,55,0,44
16055,0,91,1,5
16057,0,90,1,4
16059,0,94,1,3
16061,0,81,0,5
16063,8,63,1,33
16065,0,91,1,7
16067,0,54,0,45
16069,6,80,0,4
16071,0,92,1,4
16073,0,62,0,36
16075,0,72,0,25
16077,60,50,0,38
16079,0,92,0,3
16081,0,74,0,25
16083,0,76,1,20
16085,0,92,0,6
16087,0,72,0,27
17001,0,88,7,1
17003,79,43,51,1
17005,0,91,3,1
17007,16,62,2,32
17009,.,97,0,0
17011,8,81,1,14
17013,.,96,0,1
17015,0,91,2,4
17017,56,62,4,32
17019,87,58,24,7
17021,0,95,1,1
17023,0,96,1,1
17025,0,96,1,2
17027,0,91,2,4
17029,0,90,3,2
17031,96,25,31,37
17033,0,95,1,1
17035,0,98,0,0
17037,13,75,6,13
17039,0,93,1,3
17041,0,85,0,11
17043,34,58,7,21
17045,0,96,0,1
17047,0,95,1,2
17049,0,95,1,2
17051,0,97,0,1
17053,0,95,1,3
17055,0,96,1,1
17057,0,96,1,1
17059,0,97,1,2
17061,0,98,0,0
17063,0,81,3,12
17065,0,96,1,1
17067,0,96,0,1
17069,0,94,2,1
17071,0,95,0,2
17073,0,87,3,8
17075,0,84,2,10
17077,44,68,19,5
17079,0,98,0,1
17081,0,82,11,2
17083,0,98,1,1
17085,0,93,1,4
17087,0,96,0,1
17089,79,47,6,40
17091,77,59,21,14
17093,11,64,7,21
17095,4,78,8,7
17097,77,53,7,29
17099,0,80,2,14
17101,0,96,1,1
17103,0,87,2,5
17105,0,90,1,5
17107,0,93,2,1
17109,0,86,5,3
17111,5,76,1,17
17113,21,71,12,7
17115,89,64,25,2
17117,0,96,1,1
17119,25,78,12,5
17121,0,88,5,1
17123,0,93,1,3
17125,0,97,0,1
17127,0,85,7,2
17129,0,96,1,1
17131,0,94,1,3
17133,0,96,0,2
17135,0,95,2,2
17137,0,86,6,2
17139,0,96,0,0
17141,13,80,1,14
17143,92,56,30,5
17145,0,90,3,2
17147,0,96,0,1
17149,0,97,0,1
17151,0,95,1,0
17153,83,48,43,0
17155,0,88,1,7
17157,0,89,6,1
17159,0,96,0,2
17161,67,60,15,19
17163,71,51,40,4
17165,0,88,4,2
17167,59,71,20,2
17169,0,96,1,1
17171,.,98,0,0
17173,0,98,1,0
17175,0,94,0,1
17177,42,71,15,6
17179,0,92,1,2
17181,0,89,1,8
17183,90,70,19,6
17185,0,96,0,1
17187,0,78,2,15
17189,0,96,1,2
17191,0,96,1,1
17193,0,96,0,1
17195,4,77,2,17
17197,78,57,13,21
17199,0,88,5,2
17201,90,54,19,19
17203,0,94,1,2
18001,0,88,1,8
18003,62,61,18,10
18005,0,80,2,9
18007,0,91,1,7
18009,0,96,0,1
18011,0,91,1,3
18013,0,94,0,1
18015,0,91,0,6
18017,14,72,1,22
18019,15,78,9,7
18021,0,96,0,2
